tr_slug,en_slug,min_member,max_member,ar_name,tr_name,en_name,other_names,tk_number,t3kys_number,years,tr_link,en_link
saglikta-yapay-zeka-yarismasi,artificial-intelligence-in-health-competition,2,5,مسابقة الذكاء الاصطناعي في الصحة,Sağlıkta Yapay Zeka Yarışması,Artificial Intelligence in Health Competition,,34,11313,"2025, 2026",https://www.teknofest.org/tr/yarismalar/saglikta-yapay-zeka-yarismasi,https://www.teknofest.org/en/competitions/artificial-intelligence-in-health-competition
sanayide-dijital-teknolojiler-yarismasi,digital-technologies-in-industry-competition,,,مسابقة التكنولوجيات الرقمية في الصناعة,Sanayide Dijital Teknolojiler Yarışması,Digital Technologies in Industry Competition,,32,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/sanayide-dijital-teknolojiler-yarismasi,https://www.teknofest.org/en/competitions/digital-technologies-in-industry-competition
savasan-iha-yarismasi,fighter-uav-competition,3,15,مسابقة المسيرات المقاتلة,Savaşan İHA Yarışması,Fighter UAV Competition,,33,11410,"2025, 2026",https://www.teknofest.org/tr/yarismalar/savasan-iha-yarismasi,https://www.teknofest.org/en/competitions/fighter-uav-competition
suru-iha-yarismasi,swarm-uav-competition,3,10,مسابقة قطيع الدرونات,Sürü İHA Yarışması,Swarm UAV Competition,,222,11413,"2025, 2026",https://www.teknofest.org/tr/yarismalar/suru-iha-yarismasi,https://www.teknofest.org/en/competitions/swarm-uav-competition
tarim-teknolojileri-yarismasi,agricultural-technologies-competition,,6,مسابقة التقنيات الزراعية,Tarım Teknolojileri Yarışması,Agricultural Technologies Competition,,37,11307,"2025, 2026",https://www.teknofest.org/tr/yarismalar/tarim-teknolojileri-yarismasi,https://www.teknofest.org/en/competitions/agricultural-technologies-competition
teknofest-drone-sampiyonasi,teknofest-drone-championship,,,مسابقة دوري الدرونات من تكنوفست,TEKNOFEST Drone Şampiyonası,TEKNOFEST Drone Championship,,41,11416,"2025, 2026",https://www.teknofest.org/tr/yarismalar/teknofest-drone-sampiyonasi,https://www.teknofest.org/en/competitions/teknofest-drone-championship
teknofest-robolig-yarismasi,teknofest-roboleague-competition,2,5,مسابقة دوري الروبوتات من تكنوفست,TEKNOFEST Robolig Yarışması,TEKNOFEST Roboleague Competition,,287,11303,"2025, 2026",https://www.teknofest.org/tr/yarismalar/teknofest-robolig-yarismasi,https://www.teknofest.org/en/competitions/teknofest-roboleague-competition
travelx-ideathon,travelx-ideathon,,,مسابقة تقنيّات السّفر,TravelX Ideathon,Travel Hackathon,,39,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/travelx-ideathon,https://www.teknofest.org/en/competitions/travelx-ideathon
tuba-teknofest-doktora-bilim-odulleri,tuba-teknofest-doctorate-science-awards,,,مسابقة الدكتوراه وجائزة tuba,TÜBA-TEKNOFEST Doktora Bilim Ödülleri,TÜBA-TEKNOFEST Doctorate Science Awards,,101,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/tuba-teknofest-doktora-bilim-odulleri,https://www.teknofest.org/en/competitions/tuba-teknofest-doctorate-science-awards
turkce-dogal-dil-isleme-yarismasi,turkish-natural-language-processing-competition,,,مسابقة معالجة اللغة الطبيعية التركية,Türkçe Doğal Dil İşleme Yarışması,Turkish Natural Language Processing Competition,,42,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/turkce-dogal-dil-isleme-yarismasi,https://www.teknofest.org/en/competitions/turkish-natural-language-processing-competition
t3-ai-hackathon,t3-ai-hackathon,,,مسابقة الذكاء الاصطناعي في نموذج اللغة T3,T3 AI Hackathon,T3 AI Hackathon,,,,2024,https://www.teknofest.org/tr/yarismalar/t3-ai-hackathon,https://www.teknofest.org/en/competitions/t3-ai-hackathon
havacilikta-yapay-zeka-yarismasi,aviation-artificial-intelligence-competition,2,5,مسابقة الذكاء الاصطناعي في الطيران,Havacılıkta Yapay Zeka Yarışması,Artificial Intelligence in Transportation Competition,Ulaşımda Yapay Zeka,43,11350,"2025, 2026",https://www.teknofest.org/tr/yarismalar/havacilikta-yapay-zeka-yarismasi,https://www.teknofest.org/en/competitions/aviation-artificial-intelligence-competition
uluslararasi-efficiency-challenge-elektrikli-arac-yarislari,international-efficiency-challenge-electric-vehicle-races,,,مسابقة السيارات الكهربائية الدولية,Uluslararası Efficiency Challenge Elektrikli Araç Yarışları,International Efficiency Challenge Electric Vehicle Races,,44,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/uluslararasi-efficiency-challenge-elektrikli-arac-yarislari,https://www.teknofest.org/en/competitions/international-efficiency-challenge-electric-vehicle-races
universite-ogrencileri-arastirma-proje-yarismalari,university-students-research-projects-competitions,1,3,مسابقات مشاريع بحثية لطلبة الجامعات,Üniversite Öğrencileri Araştırma Proje Yarışmaları,University Students Research Projects Competitions,,49,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/universite-ogrencileri-arastirma-proje-yarismalari,https://www.teknofest.org/en/competitions/university-students-research-projects-competitions
world-drone-cup,world-drone-cup,,,كأس العالم للطائرات بدون طيار,World Drone Cup,World Drone Cup,,47,11454,"2025, 2026",https://www.teknofest.org/tr/yarismalar/world-drone-cup,https://www.teknofest.org/en/competitions/world-drone-cup
uluslararasi-insansiz-hava-araci-yarismasi,international-unmanned-aerial-vehicle-competition,5,10,الطائرة بدون طيار (المسابقة الدولية),Uluslararası İnsansız Hava Aracı Yarışması,International Unmanned Aerial Vehicle Competition,,45,11301,"2025, 2026",https://www.teknofest.org/tr/yarismalar/uluslararasi-insansiz-hava-araci-yarismasi,https://www.teknofest.org/en/competitions/international-unmanned-aerial-vehicle-competition
teknofest-mimari-ve-gorsel-tasarim-yarismasi,teknofest-architectural-and-visual-design-competition,,6,مسابقة تكنوفست للتصميم المعماري والبصري,TEKNOFEST Mimari ve Görsel Tasarım Yarışması,TEKNOFEST Architectural and Visual Design Competition,,616,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/teknofest-mimari-ve-gorsel-tasarim-yarismasi,https://www.teknofest.org/en/competitions/teknofest-architectural-and-visual-design-competition
uluslararasi-cocuk-bilim-yarismasi,international-children-science-competition,,,,Uluslararası Çocuk Bilim Yarışması,International Children Science Competition,,617,,,https://www.teknofest.org/tr/yarismalar/uluslararasi-cocuk-bilim-yarismasi,https://www.teknofest.org/en/competitions/international-children-science-competition
insansiz-kara-araci-yarismasi,unmanned-ground-vehicle,,,مسابقة المركبات الأرضية غير المأهولة,İnsansız Kara Aracı Yarışması,Unmanned Ground Vehicle,,583,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/insansiz-kara-araci-yarismasi,https://www.teknofest.org/en/competitions/unmanned-ground-vehicle
e-ticaret-hackathonu,e-commerce-hackathon,,,هاكاثون التجارة الإلكترونية,E-Ticaret Hackathonu,E-Commerce Hackathon,E-Ticaret Yarışması,517,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/e-ticaret-hackathonu,https://www.teknofest.org/en/competitions/e-commerce-hackathon
5g-konumlandirma-yarismasi,5g-positioning-competition,3,10,مسابقة تحديد المواقع بتقنية الجيل الخامس,5G Konumlandırma Yarışması,5G Positioning Competition,5G & Yapay Zeka ile Akıllı Yol Güvenliği Yarışması,715,,"2025, 2026",https://www.teknofest.org/tr/yarismalar/5g-konumlandirma-yarismasi,https://www.teknofest.org/en/competitions/5g-positioning-competition
su-alti-roket-yarismasi,underwater-rocket-competition,,5,مسابقة الصواريخ تحت الماء,Su Altı Roket Yarışması,Underwater Rocket Competition,,649,11412,"2025, 2026",https://www.teknofest.org/tr/yarismalar/su-alti-roket-yarismasi,https://www.teknofest.org/en/competitions/underwater-rocket-competition
akilli-tedarik-ve-lojistik-optimizasyonu-yarismasi,,,,,Akıllı Tedarik ve Lojistik Optimizasyonu Yarışması,,,913,,2026,https://www.teknofest.org/tr/yarismalar/akilli-tedarik-ve-lojistik-optimizasyonu-yarismasi,https://www.teknofest.org/en/competitions/
maden-teknolojileri-yarismasi,mining-technologies-competition,,6,مسابقة تقنيّات المعادن,Maden Teknolojileri Yarışması,Mining Technologies Competition,,,11521,2026,https://www.teknofest.org/tr/yarismalar/maden-teknolojileri-yarismasi,https://www.teknofest.org/en/competitions/mining-technologies-competition
